Categorias,Tiendas,Marcas,Producto
Alimentos Y Bebidas Origen Vegetal,Mercadona,2322,2322
Alimentos Y Bebidas Origen Vegetal,Carrefour,1954,1954
Galletas,Carrefour,1358,1358
Chocolates,Carrefour,1172,1172
Snacks,Carrefour,995,995
Cereales,Carrefour,944,944
Cereales,Mercadona,844,844
Snacks,Mercadona,838,838
Sweet Snacks,Carrefour,836,836
Alimentos Y Bebidas Origen Vegetal,Lidl,764,764
Chocolates,Mercadona,652,652
Sweet Snacks,Mercadona,632,632
Desayunos,Carrefour,544,544
Postres,Mercadona,520,520
Bebidas,Mercadona,507,507
Postres,Carrefour,473,473
Alimentos Y Bebidas Origen Vegetal,Alcampo,433,433
Galletas,Mercadona,382,382
Bebidas,Carrefour,365,365
Alimentos Y Bebidas Origen Vegetal,Delhaize,329,329
Desayunos,Mercadona,322,322
Leche,Mercadona,299,299
Cereales,Lidl,287,287
Alimentos Y Bebidas Origen Vegetal,Eroski,271,271
Alimentos Y Bebidas Origen Vegetal,Dia,260,260
Alimentos Y Bebidas Origen Vegetal,Magasins U,256,256
Sustitutivo De La Leche,Carrefour,255,255
Meats And Their Products,Mercadona,253,253
Alimentos Y Bebidas Origen Vegetal,El Corte Ingles,251,251
Frozen Foods,Carrefour,243,243
Alimentos Y Bebidas Origen Vegetal,Hipercor,238,238
Snacks,Lidl,227,227
Prepared Meats,Mercadona,219,219
Chocolates,Lidl,217,217
Condiments,Mercadona,216,216
Alimentos Y Bebidas Origen Vegetal,Ahorramas,214,214
Meats,Mercadona,210,210
Postres,Lidl,210,210
Breads,Mercadona,205,205
Comidas Fermentadas,Carrefour,198,198
Chocolates,Magasins U,196,196
Sweet Snacks,Lidl,186,186
Groceries,Mercadona,179,179
Galletas,Magasins U,177,177
Salty Snacks,Mercadona,175,175
Snacks,Magasins U,174,174
Artificially Sweetened Beverages,Mercadona,174,174
Galletas,Lidl,174,174
Chocolates,Alcampo,171,171
Galletas,Alcampo,167,167
Sauces,Mercadona,167,167
Galletas,Dia,165,165
Spreads,Mercadona,160,160
Cereales,Dia,154,154
Cereales,Magasins U,152,152
Ice Creams And Sorbets,Carrefour,149,149
Frozen Desserts,Carrefour,149,149
Fruits And Vegetables Based Foods,Mercadona,145,145
Ice Creams,Carrefour,144,144
Chocolates,Delhaize,142,142
Leche,Carrefour,142,142
Sweetened Beverages,Mercadona,141,141
Alimentos Y Bebidas Origen Vegetal,Tesco,138,138
Comidas Fermentadas,Mercadona,138,138
Appetizers,Mercadona,138,138
Chocolates,E.Leclerc,137,137
Snacks,Alcampo,135,135
Chewing Gum,Mercadona,133,133
Sugar-Free Chewing Gum,Mercadona,133,133
Dairy Desserts,Mercadona,131,131
Cereales,Alcampo,130,130
Galletas,Eroski,130,130
Snacks,Delhaize,129,129
Meals,Mercadona,129,129
